key,title,directions,fandom/multifandom,national/international,country of creation,year of creation,peak activity,year of closure,website,web archive,audience,main directions
1,Gossamer,fanfiction,fandom,international,USA,1999,2015,-,http://fluky.gossamer.org/,https://web.archive.org/web/19990801000000*/http://fluky.gossamer.org/,small,mixed
2,GSSU (German Speaking Slashers United),fanfiction,multifandom,international,Germany,2000,2007,2012,http://skybs.slashcity.net/gssu/main.html,https://web.archive.org/web/20160501000000*/https://ficbook.net,large,slash
3,Archive of Our Own (AO3),multi,multifandom,international,USA,2008,2020,-,Archive of Our Own (AO3),https://web.archive.org/web/20200101000000*/https://www.archiveofourown.org/,large,slash
4,FanFiction,fanfiction,multifandom,international,USA,1998,2013,-,https://www.fanfiction.net/,https://web.archive.org/web/19990115000000*/https://www.fanfiction.net/,average,mixed
5,Tumblr,fanart,multifandom,international,USA,2007,2019,-,https://www.tumblr.com/,https://web.archive.org/web/20191001000000*/https://www.tumblr.com/,large,mixed
6,Wattpad,fanfiction,multifandom,international,Canada,2006,,-,https://www.wattpad.com/,,large,het
7,Fanhackers,researches,multifandom,international,USA,2013,2016,-,https://fanhackers.tumblr.com/,https://web.archive.org/web/*/https://fanhackers.tumblr.com/,large,mixed
8,Fanlore,multi,multifandom,international,n/a,2008,2010,-,https://fanlore.org/wiki,https://web.archive.org/web/20081115000000*/https://fanlore.org/,large,mixed
9,Twitter,multi,multifandom,international,USA,2001,2019,-,https://twitter.com/,https://web.archive.org/web/20081115000000*/https://twitter.com/,large,het
10,Fan Culture Preservation Project,multi,multifandom,international,n/a,2014,2016,-,https://www.lib.uiowa.edu/sc/resources/FandomResources/,https://web.archive.org/web/20140501000000*/http://collguides.lib.uiowa.edu/?MSC0320,average,mixed
11,Transformative Works and Cultures,researches,multifandom,international,n/a,2008,2012,-,https://journal.transformativeworks.org/index.php/twc,https://web.archive.org/web/20140501000000*/https://journal.transformativeworks.org/index.php/twc,average,slash
12,Livejournal,multi,multifandom,international,USA,1999,2013,-,https://www.livejournal.com/,https://web.archive.org/web/20140501000000*/https://www.livejournal.com/,large,het
13,Oded Fehr Weaver Of Dreams,fanfiction,fandom,international,USA,2001,2005,2011,http://www.fehrdreams.net/,http://web.archive.org/web/20051025045413/http://www.fehrdreams.net/,small,het
14,Buffy / Giles Fanfiction Архив,fanfiction,fandom,national,USA,1999,2004,2010,http://bgshippers.com/,https://web.archive.org/web/19991115123236/http://bgshippers.com/,small,het
15,West of the Moon,fanfiction,fandom,national,USA,2003,2007,2020,http://www.west-of-the-moon.net,,average,gen
16,Lotrfanfiction.com,fanfiction,fandom,international,USA,2004,2007; 2011,-,http://www.lotrfanfiction.com/,https://web.archive.org/web/20190405182424/http://www.lotrfanfiction.com/index.php,average,het
17,Thin Line,fanfiction,fandom,national,USA,2001,2003,2011,www26.brinkster.com/sssb/,-,small,slash
18,Gilmore Girls Slash,fanfiction,fandom,national,USA,2001,2004,2017,https://www.yahoo.com/,-,small,slash
19,FrodoHealers,fanfiction,fandom,national,Great Britain,2002,,-,,,average,gen
20,The Croft Codex,fanfiction,fandom,national,USA,2005,,2008,http://www.croftcodex.net/,,small,het
21,Will Remember You (IWRY) Fic Marathon,fanfiction,fandom,national,USA,2004,2011,-,https://iwry-marathon.livejournal.com/,,small,mixed
22,Sublime,fanfiction,fandom,national,USA,2004,2007,2012,http://www.octavesoftheheart.com/sublime/,https://web.archive.org/web/20180927143015/http://www.octavesoftheheart.com/sublime/,small,het
23,SpringFen,fanfiction,fandom,international,USA,2005,2013,-,http://springfen.52togetherforever.com/forum/dz/index.php,https://web.archive.org/web/2019*/http://springfen.52togetherforever.com/forum/dz/index.php,average,slash
24,Rawhide-fic,fanfiction,fandom,national,USA,2002,2003,2008,http://lupous.net/rawhide/fiction.html,http://lupous.net/rawhide/fiction.html,small,mixed
25,TER/MA,fanfiction,fandom,international,USA,1999,2017,2008(-),http://www.ditb.org/terma/,https://web.archive.org/web/2019*/http://www.ditb.org/terma/,small,slash
26,DoyleCordy,fanfiction,fandom,national,USA,1999,,2002,-,-,small,het
27,Watchmen Kinkmeme,fanfiction,fandom,national,USA,2008,2013,-,https://spam-monster.livejournal.com/,https://web.archive.org/web/2019*/https://spam-monster.livejournal.com/,small,het
28,Side by Side,multi,fandom,international,USA,2001,2013,-,http://www.kardasi.com/SBS/sbsmain.htm,http://web.archive.org/web/20080120200738fw_/http://www.kardasi.com/SBS/sbsmain.htm,average,slash
29,Underground,multi,fandom,international,USA,2008,2009,2013,http://labyrinth.retrogression.org/,https://web.archive.org/web/2019*/http://labyrinth.retrogression.org/,small,het
30,Tom Paris Dorm,fanfiction,fandom,international,USA,2000,2005,-,http://www.tomparisdorm.com/,https://web.archive.org/web/2019*/http://www.tomparisdorm.com/,average,slash
31,Twice Bitten,fanfiction,fandom,national,USA,2007,2010,-,http://bloodties-fans.com/,https://web.archive.org/web/2019*/http://bloodties-fans.com/,small,mixed
32,Elusive Lover (Star Wars archive),fanart;fanfiction,fandom,international,USA,2000,2005,2013,http://www.elusive-lover.de,https://web.archive.org/web/2019*/%20http://www.elusive-lover.de,average,slash
33,Fandom wiki,multi,multifandom,international,Great Britain,1998,2019,-,https://www.fandom.com/,https://web.archive.org/web/2019*/https://www.fandom.com/,large,mixed
34,Obidala Network,fanfiction,fandom,national,USA,2002,2009,2017,http://obidala.net/,https://web.archive.org/web/2019*/http://obidala.net/,small,het
35,Glass Onion,fanart;fanfiction,multifandom,international,USA,2001,2004,2018,http://groups.yahoo.com/group/Glass_Onion/,https://web.archive.org/web/20121024014047/http://groups.yahoo.com/group/Glass_Onion/,small,mixed
36,Glow Firefly,fanfiction,multifandom,international,USA,2002,2006,2018,http://firefly.populli.org/,https://web.archive.org/web/2019*/http://firefly.populli.org/,small,mixed
37,Soul Circuit,fanfiction,fandom,international,USA,2001,,2019,-,-,small,slash
38,Alpha Gate,fanfiction,fandom,national,USA,2001,2005, ,http://www.thealphagate.com/,https://web.archive.org/web/2019*/http://www.thealphagate.com/,small,mixed
39,Born For War,fanfiction,multifandom,international,USA,2000,2007,2015,http://bleeding-heart.net/bfw/,https://web.archive.org/web/20150708220307/http://bleeding-heart.net/bfw/,small,het
40,The Fenspace Collective,multi,fandom,national,USA,2011,2019,,http://www.accessdenied-rms.net/forums/,https://web.archive.org/web/*/http://www.accessdenied-rms.net,small,het
41,Slashers United,fanfiction,multifandom,national,Germany,2000,2007,2012,http://skybs.slashcity.net/gssu/main.html,https://web.archive.org/web/2021*/http://skybs.slashcity.net/gssu/main.html,average,slash
42,Sentinel,fanfiction,fandom,national,USA,1996,2001,2009,,https://web.archive.org/web/20090730184047/http://www.852prospect.org/archive/index.html,average,slash
43,The Good Omens Library,fanfiction,fandom,national,USA,2005,,,,https://web.archive.org/web/2021*/http://skybs.slashcity.net/gssu/main.html,average,slash
44,StargateFan,multi,fandom,national,USA,2000,2005,,http://www.stargatefan.com/,https://web.archive.org/web/2021*/http://www.stargatefan.com/,small,gen
45,Boys in Chains,fanfiction,multifandom,national,USA,2004,2005,2013,,http://web.archive.org/web/20040805182531/http://www.boysinchains.org/,small,slash
46,Monaboyd,fanfiction,fandom,national,USA,2003,2004,2018,http://monaboyd.net/,https://web.archive.org/web/*/http://monaboyd.net/,small,slash
47,Ink Stained Fingers,fanfiction; fanart,fandom,national,USA,2004,2005,,http://inkstain.inkquill.net/,https://web.archive.org/web/*/http://inkstain.inkquill.net/,average,mixed
48,Hermit Library,fanfiction,fandom,national,USA,2000,2004,2015,http://www.hermit.org/blakes7/Library/SrchReq.cgi,https://web.archive.org/web/2021*/http://www.hermit.org/blakes7/Library/SrchReq.cgi,large,mixed
49,Born For War,fanfiction,multifandom,national,USA,2000,2006,2015,http://bleeding-heart.net/bfw,https://web.archive.org/web/20150708220307/http://bleeding-heart.net/bfw/,large,mixed
50,"	Pretty Lights",fanfiction,multifandom,national,USA,2005,2007,2010,http://prettylights.compromisingpositions.net/,https://web.archive.org/web/20071001000000*/http://prettylights.compromisingpositions.net/,average,slash
