title,directions,fandom/multifandom,national/international,country of creation,year of creation,peak activity,year of closure,website,web archive,audience,main directions
The fanfiction book,fanfiction,multifandom,international,Russia,2007,2019,,https://ficbook.net,https://web.archive.org/web/20160501000000*/https://ficbook.net,large,slash
Fanfics.me,"fanart, fanfiction",multifandom,national,Russia,2004,2017,-,https://fanfics.me/,https://web.archive.org/web/2019*/Fanfics.me,large,gen
Snape's Fairytales,fanfiction,multifandom,national,Russia,2005,2012,-,http://www.snapetales.com,https://web.archive.org/web/2019*/http://www.snapetales.com,average,slash
Dairi.ru,fanfiction,multifandom,national,Russia,1998,2017,-,https://www.diary.ru/,https://web.archive.org/web/2019*/https://www.diary.ru/,average,mixed
Liveinternet.ru,fanfiction,multifandom,national,Russia,2003,2014,-,https://www.liveinternet.ru,https://web.archive.org/web/2019*/https://www.liveinternet.ru,average,mixed
Beon.ru,fanfiction,multifandom,national,Russia,2003,2014,-,https://Beon.ru,https://web.archive.org/web/*/https://Beon.ru,average,mixed
Lurkomorye,multi,multifandom,national,Russia,2007,2015,-,https://lurkmore.to,https://web.archive.org/web/2013*/https://lurkmore.ru,average,mixed
Potterforum.ru,fanfiction,fandom,national,Russia,2010,2012,-,https://potterforum.ru,https://web.archive.org/web/2013*/https://potterforum.ru,small,slash
Prodaman,multi,multifandom,national,Russia,2016,2020,-,https://prodaman.ru/,https://web.archive.org/web/2013*/https://prodaman.ru,average,het
Harry Potter Forum,multi,multifandom,national,Russia,2007,2017,-,https://hpfan.ucoz.ru/,https://web.archive.org/web/2019*/https://hpfan.ucoz.ru/forum/,average,mixed
